Key,RU,TR
Искренне поздравляем,Искренне поздравляем,
с Международным женским днём,с Международным женским днём,Uluslararası Kadınlar gününü kutlu olsun.
Специально к этому празднику мы,Специально к этому празднику мы выпустили коллекцию NFT “Цветы мира”<br />Мы дарим их Вам.,Özellikle bu tatil için NFT koleksiyonu “Flowers of the World”ü yayınladık.
Нажмите на кнопку Получить NFT,Нажмите на кнопку Получить NFT <br />и Вам выпадет один из уникальных <br />цветков коллекции,NFT Al düğmesine tıklayarak<br> benzersiz çiçek koleksiyonda olanlardan birini alacaksınız
Загрузка,Загрузка,Yükleniyor
Получить NFT,Получить NFT,NFT'leri alın
Нажмимая на кнопку,"Нажмимая на кнопку, вы даете согласие <br />на обработку персональных данных и <br/>соглашаетесь <a class=""policiesLink"" href=""https://oton.org/media/PRIVACY_NOTICE.pdf?b6f7ac2c"" target=""_blank"" rel=""noopener noreferrer"">с политикой конфиденциальности</a>","Kişisel verilerin işlenmesine ve <br> gizlilik <a class=""policiesLink"" href=""https://oton.org/media/PRIVACY_NOTICE.pdf?b6f7ac2c"" target=""_blank"" rel=""noopener noreferrer"">politikasını kabul</a> et düğmeye tıklayarak onaylamış oluyorsunuz"
Для получения NFT,"Для получения NFT вам надо будет авторизовать кошелёк и оплатить комиссию за транзакцию получения NFT со смарт-контракта. Комиссия составит не больше 10-15 центов.<br /><br /> После выполнения транзакции, надо будет добавить NFT в кошелёк вручную. Инструкция будет на следующием шаге.","NFT almak için cüzdanı aktif hale getirip, NFT almak için işlem ücretini ödemeniz gerekmektedir. Komisyon 10-15 sentten fazla olmayacak.<br><br>İşlemi tamamladıktan sonra, cüzdana manuel olarak NFT eklemeniz gerekecektir. Talimatlar bir sonraki adımda olacaktır."
,,
Ваш подарок,Ваш подарок,Senin hediyen
Добавить в Metamask,Добавить в Metamask,Metamaske Ekle
instructionsItem1,Откройте мобильное приложение Метамаск,Metamask mobil uygulamasını açın
instructionsItem2,"Убедитесь, что вы находетесь в кошельке с тем адресом, на который получали NFT",NFT'leri aldığınız adresin bulunduğu cüzdanda olduğunuzdan emin olun.
instructionsItem3,Перейдите на вкладку «Невзаимозаменяемые токены»,Ticari olmayan belirteçler sekmesine gidin
instructionsItem4,Прокрутите экран вниз и нажмите «ДОБАВИТЬ невзаимозаменяемые токены»,"Ekranı aşağı kaydırın ve ""Tahmini olmayan belirteçler EKLE""yi tıklayın."
instructionsItem5,Укажите адрес {contractAddress},{contractAddress} adresini belirtin
instructionsItem6,Укажите Идентификатор {giftN},{giftN} kimliğini belirtin
instructionsItem7,Нажмите «Добавить»,Ekleye tıklayın
instructionsItem8,Дождитесь загрузки изборажения,Resmin yüklenmesini bekleyin
,,
Анатолий Илле,Анатолий Илле,Anatoli Ille
Антон Эльстон,Антон Эльстон,Anton Elston
,,
NFT уже получена,NFT уже получена,NFT zaten alındı
Установите расширение MetaMask и попробуйте снова!,Установите расширение MetaMask и попробуйте снова!,MetaMask uzantısını yükleyin ve tekrar deneyin!
Что то пошло не так при попытке получить адрес,Что то пошло не так при попытке получить адрес,Adresi almaya çalışırken bir şeyler ters gitti
Ошибка типа при проверке NFT,Ошибка типа при проверке NFT,NFT'yi kontrol ederken hata yazın
Неизвестная ошибка при проверке NFT,Неизвестная ошибка при проверке NFT,NFT kontrol edilirken bilinmeyen hata
Что то пошло не так,Что то пошло не так,Bir şeyler yanlış gitti
Неизвестная Ошибка при получении NFT,Неизвестная Ошибка при получении NFT,NFT alınırken Bilinmeyen Hata